TC ID,Object,User Story,Scenario,Expected Result,AC Reference,Test Status,Duration (s),Error Message,Run Date
TC-ACC-001,Account,US-005,Verify existing Account has Billing Address and Payment Terms on Details tab,Account record opens; Details tab loads; soft-fail warning logged to console if either field is blank; page header remains visible (test never hard-fails),AC-005-01,not run,,,2026-04-22
TC-ACC-002,Account,US-005,Create a new Contact for the Account when no Contact exists in the Related list,"New Contact modal opens, First Name and Last Name filled via SFUtils.fillName, record saved and Contact detail page confirmed",AC-005-02,not run,,,2026-04-22
TC-ACC-003,Account,US-005,Create Opportunity from the Contact record using the New Opportunity action,"Opportunity modal filled with Name, Close Date, Stage; record saved; Opportunity page header with correct name is visible",AC-005-03,not run,,,2026-04-22
TC-ACC-004,Account,US-005,Verify newly created Contact is assigned as Primary Contact Role on the Opportunity,"Opportunity Related tab shows Contact Roles section; Contact row present; Primary indicator visible; if missing, Edit modal used to set Primary and saved",AC-005-04,not run,,,2026-04-22
TC-CON-001,Contact,US-005,Verify Account Billing Address and Payment Terms are present under the Details tab,Fields are visible; soft-fail warning logged if either field is absent — test continues,AC-005-01,not run,,,2026-04-22
TC-CON-002,Contact,US-005,Create a new Contact record linked to an existing Account when no Contact exists,"Contact is saved successfully, detail page loads, Name and Account Name fields are populated",AC-005-02,not run,,,2026-04-22
TC-CON-003,Contact,US-005,Create a new Opportunity from the Contact's Related tab Opportunities list,Opportunity is saved and its detail page loads with the correct Opportunity Name visible,AC-005-03,not run,,,2026-04-22
TC-CON-004,Contact,US-005,Verify the newly created Contact is assigned as Primary Contact Role on the Opportunity,Contact appears in the Contact Roles related list with Primary indicator present,AC-005-04,not run,,,2026-04-22
TC-OPP-001,Opportunity,US-005,Verify existing Account has Billing Address and Payment Terms under Details tab (soft-fail if missing),Both fields are visible on the Details tab; missing fields emit a console warning but do not hard-fail the run,AC-005-01,not run,,,2026-04-22
TC-OPP-002,Opportunity,US-005,Check whether a Contact exists for the Account; create a new Contact record if one is absent,New Contact is created and visible on the Account's Contacts related list,AC-005-02,not run,,,2026-04-22
TC-OPP-003,Opportunity,US-005,Open the Contact record and create a new Opportunity from the Contact's perspective,Opportunity record is saved and the detail page loads successfully,AC-005-03,not run,,,2026-04-22
TC-OPP-004,Opportunity,US-005,Navigate to the newly created Opportunity and verify the Contact appears in Contact Roles as Primary,Contact is listed in the Contact Roles related list with Primary role,AC-005-04,not run,,,2026-04-22
TC-ORD-001,Order,US-005,Verify existing Account has Billing Address and Payment Terms under the Details tab (soft-fail if missing),Billing Address and Payment Terms fields are present and non-empty; test logs a SOFT-FAIL warning but does not block execution if either field is absent,AC-005-01,not run,,,2026-04-22
TC-ORD-002,Order,US-005,Create a new Contact for the Account when no Contact exists,"New Contact record is saved and visible, linked to the parent Account",AC-005-02,not run,,,2026-04-22
TC-ORD-003,Order,US-005,Create a new Opportunity from the Contact record's Related tab,Opportunity record is created and navigated to; heading matches the expected Opportunity name,AC-005-03,not run,,,2026-04-22
TC-ORD-004,Order,US-005,Verify the newly created Contact is assigned as the Primary Contact Role on the Opportunity,Contact Roles related list on the Opportunity contains the Contact with the Primary flag set,AC-005-04,not run,,,2026-04-22
